movie_id,award_id,award_year
5,86,1981
5,21,1981
8,26,1981
8,13,1981
8,66,1981
8,94,1981
11,32,1981
11,84,1981
23,87,1981
29,27,1981
29,95,1981
42,99,1982
60,27,1982
60,3,1982
60,13,1982
61,86,1982
61,87,1982
61,94,1982
62,59,1982
62,32,1982
62,66,1982
62,95,1982
119,87,1983
120,86,1983
120,2,1983
120,3,1983
120,59,1983
120,13,1983
120,21,1983
120,66,1983
120,95,1983
121,27,1983
185,84,1984
187,21,1984
187,32,1984
187,63,1984
187,100,1984
194,26,1984
194,87,1984
194,13,1984
194,66,1984
194,94,1984
205,86,1984
205,95,1984
245,90,1985
274,27,1985
274,32,1985
295,92,1985
320,100,1986
322,26,1986
322,90,1986
331,21,1986
331,95,1986
335,59,1986
349,2,1986
349,3,1986
349,13,1986
349,32,1986
349,66,1986
349,63,1986
349,94,1986
369,27,1986
413,84,1987
414,100,1987
414,90,1987
420,13,1987
420,21,1987
420,66,1987
420,63,1987
424,99,1987
435,86,1987
456,26,1987
456,27,1987
456,95,1987
510,92,1988
511,84,1988
513,26,1988
526,87,1988
526,27,1988
526,95,1988
528,86,1988
536,90,1988
538,2,1988
538,3,1988
538,59,1988
538,13,1988
538,21,1988
538,32,1988
538,66,1988
538,63,1988
538,94,1988
545,99,1988
613,99,1989
615,86,1989
615,13,1989
615,66,1989
615,95,1989
621,21,1989
621,100,1989
621,90,1989
623,3,1989
631,84,1989
637,87,1989
648,27,1989
686,32,1989
689,63,1989
710,100,1990
712,2,1990
715,95,1990
716,32,1990
716,84,1990
717,90,1990
729,13,1990
729,21,1990
730,26,1990
730,3,1990
730,63,1990
740,86,1990
740,27,1990
752,87,1990
752,99,1990
752,66,1990
752,94,1990
759,59,1990
813,79,1991
816,27,1991
816,95,1991
820,87,1991
825,2,1991
825,99,1991
825,84,1991
864,86,1991
884,59,1991
924,99,1992
924,63,1992
924,100,1992
924,90,1992
926,86,1992
926,87,1992
926,13,1992
926,66,1992
926,102,1992
931,95,1992
934,32,1992
934,84,1992
936,3,1992
936,21,1992
942,26,1992
944,27,1992
961,2,1992
961,59,1992
1040,27,1993
1041,63,1993
1043,26,1993
1043,13,1993
1043,21,1993
1043,66,1993
1047,86,1993
1050,32,1993
1050,84,1993
1053,90,1993
1055,87,1993
1055,2,1993
1055,102,1993
1148,63,1994
1148,100,1994
1148,90,1994
1150,2,1994
1150,3,1994
1150,13,1994
1150,21,1994
1150,32,1994
1150,66,1994
1150,102,1994
1157,99,1994
1158,26,1994
1164,86,1994
1164,84,1994
1166,87,1994
1166,27,1994
1166,95,1994
1173,59,1994
1271,95,1995
1272,86,1995
1272,13,1995
1272,21,1995
1272,66,1995
1272,90,1995
1272,102,1995
1275,32,1995
1275,84,1995
1277,63,1995
1277,100,1995
1279,3,1995
1294,59,1995
1295,26,1995
1295,99,1995
1329,87,1995
1345,2,1995
1406,3,1996
1406,13,1996
1406,99,1996
1406,66,1996
1406,100,1996
1407,21,1996
1407,63,1996
1408,26,1996
1408,95,1996
1418,86,1996
1422,102,1996
1435,103,1996
1435,84,1996
1443,90,1996
1444,87,1996
1486,27,1996
1509,2,1996
1509,59,1996
1536,90,1997
1547,26,1997
1553,27,1997
1553,2,1997
1553,3,1997
1553,59,1997
1553,13,1997
1553,21,1997
1553,76,1997
1553,66,1997
1553,63,1997
1558,102,1997
1573,99,1997
1575,100,1997
1585,103,1997
1608,86,1997
1615,84,1997
1674,2,1998
1674,3,1998
1674,59,1998
1674,13,1998
1674,21,1998
1674,76,1998
1674,84,1998
1674,66,1998
1674,63,1998
1674,100,1998
1674,90,1998
1678,26,1998
1678,95,1998
1682,27,1998
1682,102,1998
1684,99,1998
1695,86,1998
1695,87,1998
1715,103,1998
1811,3,1999
1811,13,1999
1811,21,1999
1811,63,1999
1811,100,1999
1839,84,1999
1860,99,1999
1899,102,1999
1953,86,2000
1953,3,2000
1953,13,2000
1953,66,2000
1953,95,2000
1965,27,2000
1971,2,2000
1996,26,2000
1996,102,2000
2058,59,2000
2058,99,2000
2103,95,2001
2105,86,2001
2105,59,2001
2105,66,2001
2105,63,2001
2105,90,2001
2116,87,2001
2128,26,2001
2128,13,2001
2128,21,2001
2128,102,2001
2132,2,2001
2132,3,2001
2132,55,2001
2132,32,2001
2145,104,2001
2172,84,2001
2206,27,2001
2255,3,2002
2255,99,2002
2255,32,2002
2255,90,2002
2258,84,2002
2264,105,2002
2265,21,2002
2265,63,2002
2266,27,2002
2266,13,2002
2266,66,2002
2266,102,2002
2268,104,2002
2271,86,2002
2291,95,2002
2297,87,2002
2368,26,2002
2413,84,2003
2414,86,2003
2414,13,2003
2414,106,2003
2416,104,2003
2416,90,2003
2417,3,2003
2444,27,2003
2444,2,2003
2444,59,2003
2444,21,2003
2444,66,2003
2444,63,2003
2463,99,2003
2463,32,2003
2471,87,2003
2509,38,2003
2575,2,2004
2575,59,2004
2575,13,2004
2575,21,2004
2575,99,2004
2575,32,2004
2575,84,2004
2575,66,2004
2575,107,2004
2575,90,2004
2575,106,2004
2577,86,2004
2577,26,2004
2582,38,2004
2586,105,2004
2593,87,2004
2607,27,2004
2712,55,2004
2723,38,2005
2728,105,2005
2728,104,2005
2731,27,2005
2731,2,2005
2731,3,2005
2731,59,2005
2731,21,2005
2732,90,2005
2737,26,2005
2737,87,2005
2737,13,2005
2737,66,2005
2794,32,2005
2830,84,2005
2840,55,2005
2876,2,2006
2876,3,2006
2876,59,2006
2880,13,2006
2880,32,2006
2880,106,2006
2884,99,2006
2890,104,2006
2890,107,2006
2890,90,2006
2907,87,2006
2911,27,2006
2955,86,2006
2979,26,2006
2999,84,2006
3036,13,2007
3036,21,2007
3036,66,2007
3036,106,2007
3043,2,2007
3043,3,2007
3043,99,2007
3044,90,2007
3052,26,2007
3052,38,2007
3053,86,2007
3055,55,2007
3058,59,2007
3098,27,2007
3098,107,2007
3102,105,2007
3121,104,2007
3199,86,2008
3199,3,2008
3208,105,2008
3209,32,2008
3218,38,2008
3233,21,2008
3233,104,2008
3233,107,2008
3257,27,2008
3290,84,2008
3292,59,2008
3333,55,2008
3346,26,2009
3346,104,2009
3357,2,2009
3357,99,2009
3357,90,2009
3364,27,2009
3367,3,2009
3367,13,2009
3367,21,2009
3367,32,2009
3367,84,2009
3367,66,2009
3367,107,2009
3367,106,2009
3371,59,2009
3372,87,2009
3420,86,2009
3420,38,2009
3505,26,2010
3506,99,2010
3507,2,2010
3507,3,2010
3507,90,2010
3520,87,2010
3521,105,2010
3521,32,2010
3545,55,2010
3582,86,2010
3582,84,2010
3589,59,2010
3663,3,2011
3663,104,2011
3663,107,2011
3663,90,2011
3670,87,2011
3674,21,2011
3674,32,2011
3674,106,2011
3686,2,2011
3686,59,2011
3702,105,2011
3702,84,2011
3705,86,2011
3705,13,2011
3705,66,2011
3705,38,2011
3706,26,2011
3706,27,2011
3737,99,2011
3822,38,2012
3824,21,2012
3829,27,2012
3856,105,2012
3873,55,2012
3874,2,2012
3874,3,2012
3874,104,2012
3874,107,2012
3874,90,2012
3907,86,2012
3907,59,2012
3907,13,2012
3907,32,2012
3907,66,2012
3953,87,2012
3953,99,2012
3968,26,2013
3968,38,2013
3977,21,2013
3977,66,2013
3977,106,2013
3979,104,2013
3981,84,2013
3981,104,2013
3984,27,2013
3984,108,2013
3984,107,2013
3985,87,2013
3995,86,2013
3995,109,2013
4013,3,2013
4013,13,2013
4013,32,2013
4013,90,2013
4014,59,2013
4056,55,2013
4110,3,2014
4110,13,2014
4110,21,2014
4110,32,2014
4110,104,2014
4110,107,2014
4110,90,2014
4115,38,2014
4117,59,2014
4117,109,2014
4131,27,2014
4131,66,2014
4131,106,2014
4133,86,2014
4133,26,2014
4133,108,2014
4162,87,2014
4189,55,2014
4238,90,2015
4242,59,2015
4242,108,2015
4242,32,2015
4242,109,2015
4243,26,2015
4243,21,2015
4243,107,2015
4252,106,2015
4263,104,2015
4272,27,2015
4273,86,2015
4323,84,2015
4357,59,2016
4357,21,2016
4357,108,2016
4357,109,2016
4357,104,2016
4357,107,2016
4361,32,2016
4366,106,2016
4369,87,2016
4370,105,2016
4376,84,2016
4400,26,2016
4401,27,2016
4490,104,2017
4492,82,2017
4493,87,2017
4493,3,2017
4493,13,2017
4493,32,2017
4493,84,2017
4493,109,2017
4496,105,2017
4497,21,2017
4497,107,2017
4505,59,2017
4515,86,2017
4515,38,2017
4524,90,2017
4548,27,2017
4576,55,2017
4603,86,2018
4603,108,2018
4606,3,2018
4606,90,2018
4610,106,2018
4612,21,2018
4612,104,2018
4612,107,2018
4613,105,2018
4613,84,2018
4622,13,2018
4622,32,2018
4622,66,2018
4622,109,2018
4640,59,2018
4702,86,2019
4702,21,2019
4702,104,2019
4702,107,2019
4703,59,2019
4703,32,2019
4703,109,2019
4710,106,2019
4721,87,2019
4741,108,2019
4746,90,2019
4796,86,2020
4796,32,2020
4801,3,2020
4801,107,2020
4801,90,2020
4803,21,2020
4803,104,2020
4815,27,2020
4817,84,2020
4854,90,2021