award_id,category,organization
0,ACTOR,Academy Award
1,ACTRESS,Academy Award
2,ART DIRECTION,Academy Award
3,CINEMATOGRAPHY,Academy Award
4,DIRECTING (Comedy Picture),Academy Award
5,DIRECTING (Dramatic Picture),Academy Award
6,ENGINEERING EFFECTS,Academy Award
7,OUTSTANDING PICTURE,Academy Award
8,UNIQUE AND ARTISTIC PICTURE,Academy Award
9,WRITING (Adaptation),Academy Award
10,WRITING (Original Story),Academy Award
11,WRITING (Title Writing),Academy Award
12,SPECIAL AWARD,Academy Award
13,DIRECTING,Academy Award
14,WRITING,Academy Award
15,OUTSTANDING PRODUCTION,Academy Award
16,SOUND RECORDING,Academy Award
17,SHORT SUBJECT (Cartoon),Academy Award
18,SHORT SUBJECT (Comedy),Academy Award
19,SHORT SUBJECT (Novelty),Academy Award
20,ASSISTANT DIRECTOR,Academy Award
21,FILM EDITING,Academy Award
22,MUSIC (Scoring),Academy Award
23,MUSIC (Song),Academy Award
24,DANCE DIRECTION,Academy Award
25,WRITING (Screenplay),Academy Award
26,ACTOR IN A SUPPORTING ROLE,Academy Award
27,ACTRESS IN A SUPPORTING ROLE,Academy Award
28,SHORT SUBJECT (Color),Academy Award
29,SHORT SUBJECT (One-reel),Academy Award
30,SHORT SUBJECT (Two-reel),Academy Award
31,IRVING G. THALBERG MEMORIAL AWARD,Academy Award
32,MUSIC (Original Score),Academy Award
33,CINEMATOGRAPHY (Black-and-White),Academy Award
34,CINEMATOGRAPHY (Color),Academy Award
35,SPECIAL EFFECTS,Academy Award
36,ART DIRECTION (Black-and-White),Academy Award
37,ART DIRECTION (Color),Academy Award
38,WRITING (Original Screenplay),Academy Award
39,DOCUMENTARY (Short Subject),Academy Award
40,MUSIC (Music Score of a Dramatic Picture),Academy Award
41,MUSIC (Scoring of a Musical Picture),Academy Award
42,OUTSTANDING MOTION PICTURE,Academy Award
43,DOCUMENTARY,Academy Award
44,MUSIC (Music Score of a Dramatic or Comedy Picture),Academy Award
45,WRITING (Original Motion Picture Story),Academy Award
46,DOCUMENTARY (Feature),Academy Award
47,BEST MOTION PICTURE,Academy Award
48,WRITING (Motion Picture Story),Academy Award
49,COSTUME DESIGN (Black-and-White),Academy Award
50,COSTUME DESIGN (Color),Academy Award
51,SPECIAL FOREIGN LANGUAGE FILM AWARD,Academy Award
52,WRITING (Story and Screenplay),Academy Award
53,HONORARY FOREIGN LANGUAGE FILM AWARD,Academy Award
54,HONORARY AWARD,Academy Award
55,FOREIGN LANGUAGE FILM,Academy Award
56,WRITING (Screenplay--Adapted),Academy Award
57,WRITING (Screenplay--Original),Academy Award
58,JEAN HERSHOLT HUMANITARIAN AWARD,Academy Award
59,COSTUME DESIGN,Academy Award
60,SHORT SUBJECT (Live Action),Academy Award
61,WRITING (Screenplay--based on material from another medium),Academy Award
62,WRITING (Story and Screenplay--written directly for the screen),Academy Award
63,SOUND,Academy Award
64,MUSIC (Music Score--substantially original),Academy Award
65,MUSIC (Scoring of Music--adaptation or treatment),Academy Award
66,BEST PICTURE,Academy Award
67,SOUND EFFECTS,Academy Award
68,SPECIAL VISUAL EFFECTS,Academy Award
69,MUSIC (Original Music Score),Academy Award
70,MUSIC (Original Score--for a motion picture [not a musical]),Academy Award
71,MUSIC (Score of a Musical Picture--original or adaptation),Academy Award
72,MUSIC (Song--Original for the Picture),Academy Award
73,WRITING (Story and Screenplay--based on material not previously published or produced),Academy Award
74,MUSIC (Original Song Score),Academy Award
75,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Academy Award
76,MUSIC (Original Dramatic Score),Academy Award
77,MUSIC (Scoring: Adaptation and Original Song Score),Academy Award
78,SHORT SUBJECT (Animated),Academy Award
79,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Academy Award
80,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Academy Award
81,SHORT FILM (Animated),Academy Award
82,SHORT FILM (Live Action),Academy Award
83,WRITING (Screenplay Adapted from Other Material),Academy Award
84,MUSIC (Original Song),Academy Award
85,SPECIAL ACHIEVEMENT AWARD (Sound Effects),Academy Award
86,ACTOR IN A LEADING ROLE,Academy Award
87,ACTRESS IN A LEADING ROLE,Academy Award
88,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),Academy Award
89,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Academy Award
90,VISUAL EFFECTS,Academy Award
91,SPECIAL ACHIEVEMENT AWARD,Academy Award
92,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),Academy Award
93,MUSIC (Adaptation Score),Academy Award
94,WRITING (Screenplay Based on Material from Another Medium),Academy Award
95,WRITING (Screenplay Written Directly for the Screen),Academy Award
96,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Academy Award
97,SPECIAL ACHIEVEMENT AWARD (Sound Editing),Academy Award
98,SHORT FILM (Dramatic Live Action),Academy Award
99,MAKEUP,Academy Award
100,SOUND EFFECTS EDITING,Academy Award
101,MUSIC (Original Song Score or Adaptation Score),Academy Award
102,WRITING (Screenplay Based on Material Previously Produced or Published),Academy Award
103,MUSIC (Original Musical or Comedy Score),Academy Award
104,SOUND EDITING,Academy Award
105,ANIMATED FEATURE FILM,Academy Award
106,WRITING (Adapted Screenplay),Academy Award
107,SOUND MIXING,Academy Award
108,MAKEUP AND HAIRSTYLING,Academy Award
109,PRODUCTION DESIGN,Academy Award
110,INTERNATIONAL FEATURE FILM,Academy Award
111,DOCUMENTARY FEATURE FILM,Academy Award
112,DOCUMENTARY SHORT FILM,Academy Award
113,GORDON E. SAWYER AWARD,Academy Award
114,AWARD OF COMMENDATION,Academy Award